Date : 2021-02-25 19:38:40
Directory : /Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app
Total : 190 files,  10787 codes, 935 comments, 1615 blanks, all 13337 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| TypeScript |        128 |      4,899 |        249 |      1,137 |      6,285 |
| SCSS       |         31 |      4,405 |        201 |        190 |      4,796 |
| HTML       |         31 |      1,483 |        485 |        288 |      2,256 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                   |        190 |     10,787 |        935 |      1,615 |     13,337 |
| components                                                                                                                                                                          |          4 |         29 |          0 |         13 |         42 |
| components/routelist-bottom-bar                                                                                                                                                     |          4 |         29 |          0 |         13 |         42 |
| createroute                                                                                                                                                                         |          6 |         67 |          0 |         24 |         91 |
| forgotpass                                                                                                                                                                          |          6 |        219 |          2 |         30 |        251 |
| home                                                                                                                                                                                |          6 |        202 |         25 |         35 |        262 |
| home2                                                                                                                                                                               |          6 |        153 |          7 |         27 |        187 |
| language                                                                                                                                                                            |          6 |        128 |          0 |         22 |        150 |
| login                                                                                                                                                                               |          6 |        416 |          7 |         80 |        503 |
| maintenance                                                                                                                                                                         |          6 |        438 |          5 |         38 |        481 |
| map                                                                                                                                                                                 |          6 |        567 |         68 |         79 |        714 |
| notifications                                                                                                                                                                       |          6 |         67 |          0 |         24 |         91 |
| passrec                                                                                                                                                                             |          6 |        185 |          0 |         29 |        214 |
| privacy                                                                                                                                                                             |          6 |         67 |          0 |         24 |         91 |
| profile                                                                                                                                                                             |          6 |        400 |          9 |         49 |        458 |
| register                                                                                                                                                                            |          6 |        375 |          8 |         50 |        433 |
| register2                                                                                                                                                                           |          6 |        332 |         10 |         48 |        390 |
| register3                                                                                                                                                                           |          6 |        513 |         33 |         99 |        645 |
| registercomplete                                                                                                                                                                    |          6 |        237 |          6 |         31 |        274 |
| routedetails                                                                                                                                                                        |          6 |        231 |          4 |         40 |        275 |
| routehistory                                                                                                                                                                        |          6 |        818 |         43 |        128 |        989 |
| routelist                                                                                                                                                                           |          6 |        824 |         43 |        129 |        996 |
| routepassengers                                                                                                                                                                     |          6 |        556 |         37 |         59 |        652 |
| routestarted                                                                                                                                                                        |          6 |        582 |        127 |         53 |        762 |
| services                                                                                                                                                                            |          6 |         98 |          0 |         35 |        133 |
| settings                                                                                                                                                                            |          6 |        431 |         36 |         41 |        508 |
| techhistory                                                                                                                                                                         |          6 |         72 |          0 |         25 |         97 |
| techinspect                                                                                                                                                                         |          6 |        759 |        196 |         93 |      1,048 |
